Airport Code	Description of Airport	City Name	State	USDA Compliance Agreement in Place and Eligible for Precleared Arrivals
KMGE	Dobbins Air Reserve Base	Marietta	Georgia	Yes
KSAV	Savannah/Hilton Head International Airport	Savannah	Georgia	Yes
KSVN	Hunter Army Field	Savannah	Georgia	No
PGUM	Guam International Airport	Tumon	Guam	No
PHTO	Hilo International Airport	Hilo	Hawaii	No
PHNL	Daniel K. Inouye International Airport	Honolulu	Hawaii	Yes
PHWR	Hickam Air Force Base	Honolulu	Hawaii	Yes
PHOG	Kahului Airport	Kahului	Hawaii	No
PHKO	Ellison Onizuka Kona International Airport at Keahole	Kailua-Kona	Hawaii	Yes
PHLI	Lihue Airport	Lihue	Hawaii	Yes
KBOI	Boise Airport	Boise	Idaho	Yes
KCOE	Coeur D'Alene Airport - Pappy Boyington Field	Hayden	Idaho	Yes
K1S1	Eckhart International Airport	Porthill	Idaho	No
KMDW	Midway Airport	Chicago	Illinois	Yes
KORD	O'Hare International Airport	Chicago	Illinois	Yes
KBLV	MidAmerica St. Louis Airport	Mascoutah	Illinois	Yes
KMLI	Quad Cities International Airport	Moline	Illinois	Yes
KPIA	Peoria International Airport	Peoria	Illinois	Yes
KRFD	Chicago Rockford International Airport	Rockford	Illinois	Yes
KCMI	University of Illinois-Willard Airport	Savoy	Illinois	Yes
KUGN	Waukegan National Airport	Waukegan	Illinois	Yes
KDPA	DuPage County Airport	West Chicago	Illinois	Yes
KPWK	Chicago Executive Airport	Wheeling	Illinois	Yes
KGYY	Gary/Chicago International Airport	Gary	Indiana	Yes
KIND	Indianapolis International Airport	Indianapolis	Indiana	Yes
KSBN	South Bend International Airport	South Bend	Indiana	Yes
KFWA	Fort Wayne International Airport	Yoder	Indiana	Yes
KDSM	Des Moines International Airport	Des Moines	Iowa	Yes
KICT	Wichita Mid-Continent Airport	Wichita	Kansas	Yes
KCVG	Cincinnati/Northern Kentucky International Airport	Hebron	Kentucky	Yes
KLEX	Blue Grass Airport	Lexington	Kentucky	Yes
KSDF	Louisville Muhammad Ali International Airport	Louisville	Kentucky	Yes
KHUM	Houma-Terrebonne Airport	Morgan City	Louisiana	No
KBTR	Baton Rouge Metropolitan Airport - Ryan Field	Baton Rouge	Louisiana	No
KGAO	South Lafourche Leonard Miller Jr Airport	Galliano	Louisiana	No
KREG	Louisiana Regional Airport	Gonzales	Louisiana	No
KARA	Acadiana Regional Airport	Iberia	Louisiana	No
KCWF	Chennault International Airport	Lake Charles	Louisiana	No
KLFT	Lafayette Regional Airport	Lafayette	Louisiana	No
KLCH	Lake Charles Regional Airport	Lake Charles	Louisiana	No
KNEW	Lakefront Airport	New Orleans	Louisiana	No
KMSY	New Orleans International Airport (Moissant Field)	New Orleans	Louisiana	Yes
KSHV	Shreveport Regional Airport	Shrevport	Louisiana	No
KBGR	Bangor International Airport	Bangor	Maine	Yes
KCAR	Caribou International Airport	Caribou	Maine	Yes
KEPM	Eastport Municipal Airport	Eastport	Maine	No
KFVE	Northern Aroostook Regional Airport	Frenchville	Maine	No
KHUL	Houlton International Airport	Houlton	Maine	Yes
K59B	Jackman Airport - Newton Field	Jackman	Maine	No
K60B	Moose River Seaplane Base	Jackman	Maine	No
K65B	Lubec Municipal Airport	Lubec	Maine	No
K06B	Lucky Landing Marina and Seaplane Base	Lucky Landing	Maine	No
KPWM	Portland International Jetport	Portland	Maine	Yes
KPQI	Presque Isle lnternational Airport	Presque Isle	Maine	Yes
KPNN	Princeton Municipal Airport	Princeton	Maine	No
K05B	Van Buren Seaplane Base	Van Buren	Maine	No
KME8	Vanceboro Seaplane Base	Vanceboro	Maine	No
KAPG	Aberdeen Proving Ground (Phillips AAF)	Aberdeen	Maryland	No
KBWI	Baltimore/Washington International Airport	Baltimore	Maryland	Yes
KMTN	Martin State Airport	Baltimore	Maryland	Yes
KNHK	Patuxant River Naval Air Station (Trapnell Field)	Lexington Park	Maryland	Yes
KBED	L. G. Hanscom Field	Bedford	Massachusetts	Yes
KBVY	Beverly Municipal Airport	Beverly	Massachusetts	No
KBOS	Logan International Airport	Boston	Massachusetts	Yes
KCEF	Westover Air Force Base	Chicopee	Massachusetts	Yes
KHYA	Cape Cod Gateway Airport	Hyannis	Massachusetts	Yes
KLWM	Lawrence Municipal Airport	Lawrence	Massachusetts	No
KEWB	New Bedford Regional Airport	New Bedford	Massachusetts	Yes
KPSF	Pittsfield Municipal Airport	Pittsfield	Massachusetts	No
KBAF	Westfield-Barnes Airport	Westfield	Massachusetts	Yes
KORH	Worcester Regional Airport	Worcester	Massachusetts	Yes
KBTL	WK Kellogg Airport	Battle Creek	Michigan	Yes
K3CM	James Clements Airport	Bay City	Michigan	No
KDET	Detroit City Airport	Detroit	Michigan	No
KDTW	Detroit Metropolitan Wayne County Airport	Detroit	Michigan	Yes
KFNT	Bishop International Airport	Flint	Michigan	No
KGRR	Gerald R. Ford International Airport	Grand Rapids	Michigan	Yes
KAZO	Kalamazoo/Battle Creek International Airport	Kalamazoo	Michigan	Yes
KLAN	Capital Region International Airport	Lansing	Michigan	Yes
KPHN	St Clair County International Airport	Port Huron	Michigan	Yes
KMBS	MBS International Airport	Saginaw	Michigan	Yes
KANJ	Sault Ste Marie Municipal/Sanderson Field	Sault Ste Marie	Michigan	No
KCIU	Chippewa County International Airport	Sault Ste Marie	Michigan	No
KPTK	Oakland County International Airport	Waterford	Michigan	Yes
KYIP	Willow Run Airport	Ypsilanti	Michigan	Yes
KBDE	Baudette International Airport	Baudette	Minnesota	No
KCDD	Scotts Seaplane Base	Crane Lake	Minnesota	No
KDLH	Duluth International Airport	Duluth	Minnesota	Yes
KDYT	Sky Harbor Airport	Duluth	Minnesota	Yes
KELO	Ely Municipal Airport	Ely	Minnesota	No
KMN41	Shagawa Seaplane Base	Ely	Minnesota	No
K0G5	Grand Marais/Cook County Seaplane Base	Grand Marais	Minnesota	No
KCKC	Grand Marais/Cook County Airport	Grand Marais	Minnesota	No
KINC	International Falls Seaplane Base	Int'l Falls	Minnesota	No
KINL	Falls International Airport	Int'l Falls	Minnesota	Yes
KMSP	MSP International Airport	Minneapolis	Minnesota	Yes
KRST	Rochester International Airport	Rochester	Minnesota	Yes
KSTP	St. Paul Downtown Airport (Holman Field)	St. Paul	Minnesota	Yes
K12D	Lake Vermillion Seaplane Base	Tower	Minnesota	No
K75Y	Warroad Seaplane Base	Warroad	Minnesota	No
KRRT	Warroad International Airport (Swede Carlson Field)	Warroad	Minnesota	No
4MN2	Oak Island Seaplane Base	Angle Inlet	Minnesota	No
KGPT	Gulfport-Biloxi International Airport	Gulfport	Mississippi	Yes
KJAN	Jackson-Evers International Airport	Jackson	Mississippi	Yes
KPQL	Trent Lott International Airport	Pascagoula	Mississippi	No
KSUS	Spirit of St. Louis Airport	Chesterfield	Missouri	Yes
KMCI	Kansas City International Airport	Kansas City	Missouri	Yes
KMKC	Charles B. Wheeler Downtown Airport	Kansas City	Missouri	Yes
KSGF	Springfield-Branson National Airport	Springfield	Missouri	Yes
KSTL	Lambert-St. Louis International Airport	St Louis	Missouri	Yes
KBZN	Bozeman Yellowstone International Airport	Bozeman	Montana	Yes
KBTM	Bert Mooney Airport	Butte	Montana	No
KCTB	Cut Bank Airport	Cut Bank	Montana	No
KH28	Whetstone International Airport	Del Bonita	Montana	No
KGTF	Great Falls International Airport	Great Falls	Montana	Yes
KHLN	Helena Regional Airport	Helena	Montana	No
KGPI	Glacier Park International Airport	Kalispell	Montana	Yes
K8U3	East Poplar International	Scobey	Montana	No
K7S8	Ross International Airport	Sweetgrass	Montana	No
KOMA	Eppley Airfield	Omaha	Nebraska	Yes
KLAS	McCarran International Airport	Las Vegas	Nevada	Yes
KRNO	Reno-Tahoe International Airport	Reno	Nevada	Yes
KMHT	Manchester Airport	Manchester	New Hampshire	Yes
KPSM	Portsmouth International Airport at Pease	Portsmouth	New Hampshire	Yes
KACY	Atlantic City International Airport	Egg Harbour Township	New Jersey	Yes
KNEL	Joint Base McGuire-Dix-Lakehurst	Lakehurst	New Jersey	Yes
KMMU	Morristown Municipal Airport	Morristown	New Jersey	Yes
